Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
30-second-showcase,|Apps|Mobile|Design|Photography|Finance|Creative|Software|, Photography ,"25,000",operating,USA,NJ,Newark,Clifton,1,4/1/2013,2013-04,2013-Q2,2013,5/20/2013,5/20/2013,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312-capital,|Finance|, Finance ," 5,00,000 ",operating,USA,IL,Chicago,Chicago,1,1/23/2013,2013-01,2013-Q1,2013,9/16/2014,9/16/2014,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33across,|Social Network Media|Advertising|, Advertising ," 2,56,54,560 ",operating,USA,NY,New York City,New York,5,9/1/2007,2007-09,2007-Q3,2007,2/6/2009,7/19/2012,750000,24904560,0,0,0,0,0,0,0,0,0,0,0,1284560,9000000,13100000,0,0,0,0,0
360fly-inc,|Consumer Electronics|, Consumer Electronics ," 1,78,00,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/1998,1998-01,1998-Q1,1998,8/11/2014,8/11/2014,0,17800000,0,0,0,0,0,0,0,0,0,0,0,0,17800000,0,0,0,0,0,0
360imaging,|Dental|Biotechnology|, Biotechnology ," 10,00,000 ",operating,USA,GA,Atlanta,Atlanta,2,1/1/2005,2005-01,2005-Q1,2005,11/1/2011,1/1/2013,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
365-data-centers,|Data Centers|Internet|Services|Information Technology|, Services ," 1,60,00,000 ",operating,USA,CA,SF Bay Area,Emeryville,1,1/1/2012,2012-01,2012-Q1,2012,9/10/2014,9/10/2014,0,16000000,0,0,0,0,0,0,0,0,0,0,0,0,16000000,0,0,0,0,0,0
37coins,|Bitcoin|, Bitcoin ,"25,000",operating,USA,CA,SF Bay Area,Sunnyvale,1,1/1/2014,2014-01,2014-Q1,2014,3/15/2014,3/15/2014,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382-communications,|Mobile|, Mobile ," 16,00,000 ",operating,USA,MA,Boston,Quincy,1,1/1/2010,2010-01,2010-Q1,2010,1/13/2012,1/13/2012,0,0,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3clickemr-corporation,|Health Care|iPad|Consumer Electronics|Electronic Health Records|Software|, Electronic Health Records ," 5,00,000 ",closed,USA,MA,Boston,West Roxbury,2,6/23/2010,2010-06,2010-Q2,2010,6/23/2010,6/1/2011,250000,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3clogic,|Customer Service|Software|, Customer Service ," 57,40,000 ",operating,USA,MD,"Washington, D.C.",Rockville,2,1/1/2005,2005-01,2005-Q1,2005,1/14/2013,3/4/2014,0,4200000,0,0,1540000,0,0,0,0,0,0,0,0,0,4200000,0,0,0,0,0,0
3d-biomatrix,|Biotechnology|, Biotechnology ," 14,65,000 ",operating,USA,MI,Detroit,Ann Arbor,1,1/1/2010,2010-01,2010-Q1,2010,2/5/2013,2/5/2013,1465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d-control-systems,|Enterprise Software|, Enterprise Software ,"28,000",operating,USA,CA,SF Bay Area,San Francisco,1,3/1/2013,2013-03,2013-Q1,2013,11/10/2013,11/10/2013,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d-future-vision-ii,|Games|, Games ," 5,03,000 ",closed,USA,FL,Orlando,Longwood,2,1/1/2011,2011-01,2011-Q1,2011,6/22/2011,3/21/2013,0,503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d-industri-es,|Search|Visualization|Supply Chain Management|Manufacturing|3D|Curated Web|,3D," 12,00,000 ",operating,USA,OH,Cincinnati,Cincinnati,2,1/1/2011,2011-01,2011-Q1,2011,3/1/2012,3/1/2013,350000,0,0,0,0,0,850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d-robotics,|Drones|Manufacturing|, Drones ," 3,50,00,000 ",operating,USA,CA,San Diego,San Diego,3,1/1/2009,2009-01,2009-Q1,2009,11/5/2012,9/16/2014,0,35000000,0,0,0,0,0,0,0,0,0,0,0,5000000,30000000,0,0,0,0,0,0
3d-sports-technology,|Software|, Software ," 9,09,940 ",operating,USA,MN,Minneapolis,Minneapolis,3,1/1/2010,2010-01,2010-Q1,2010,1/21/2011,7/25/2013,0,909940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d-systems,|Software|, Software ," 16,95,00,000 ",operating,USA,SC,SC - Other,Rock Hill,3,1/1/1986,1986-01,1986-Q1,1986,1/15/2014,10/13/2014,0,19500000,0,0,0,0,0,0,0,0,150000000,0,0,0,0,0,0,0,0,0,0
3d-vision-systems,|Hardware + Software|, Hardware + Software ," 1,50,000 ",operating,USA,MI,Detroit,Ann Arbor,1,1/1/2009,2009-01,2009-Q1,2009,12/3/2012,12/3/2012,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dbin,|E-Commerce|, E-Commerce ," 4,00,000 ",operating,USA,CA,SF Bay Area,Redwood City,1,2/6/2009,2009-02,2009-Q1,2009,10/12/2014,10/12/2014,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dcart-shopping-cart-software,|E-Commerce|, E-Commerce ," 12,50,000 ",operating,USA,FL,Ft. Lauderdale,Lauderhill,1,5/1/1997,1997-05,1997-Q2,1997,1/1/2010,1/1/2010,0,0,0,0,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3floz-com,|Health and Wellness|Beauty|E-Commerce|Retail|Travel|, Health and Wellness ," 7,50,000 ",operating,USA,NY,New York City,New York,1,11/1/2009,2009-11,2009-Q4,2009,8/16/2013,8/16/2013,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3guppies,|Music|, Music ," 2,00,00,000 ",operating,USA,WA,Seattle,Seattle,1,1/1/2003,2003-01,2003-Q1,2003,4/5/2006,4/5/2006,0,20000000,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,0
3jam,|SMS|Messaging|, Messaging ," 40,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/2005,2005-01,2005-Q1,2005,7/1/2007,7/1/2007,0,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0
3leaf,|Web Hosting|, Web Hosting ," 6,50,00,000 ",acquired,USA,CA,SF Bay Area,Santa Clara,3,6/1/2004,2004-06,2004-Q2,2004,1/1/2005,9/22/2008,0,65000000,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,35000000,0,0,0,0,0
3pillar-global,|Software|, Software ," 2,59,20,000 ",operating,USA,VA,"Washington, D.C.",Fairfax,4,8/1/2006,2006-08,2006-Q3,2006,1/29/2010,6/6/2013,0,22520000,0,0,0,3400000,0,0,0,0,0,0,0,12000000,0,0,0,0,0,0,0
